GeneID	Expression
b1076	True
b1082	True
b1923	True
b1924	True
b3599	True
b3750	True
b3751	True
b4355	True
b3600	True
b1078	True
b1083	True
b4240	True
b1886	True
b1945	True
b1077	True
b1879	True
b0724	True
b3418	True
b0161	True
b1112	True
b1072	True
b0721	True
b1889	True
b3525	True
b3528	True
b1743	True
b0720	True
b1922	True
b1888	True
b1938	True
b1080	True
b3831	True
b0723	True
b2841	True
b1079	True
b1941	True
b3603	True
b2710	True
b0115	True
b1885	True
b1939	True
b3072	True
b4239	True
b1921	True
b1415	True
b1075	True
b4484	True
b1880	True
b1073	True
b1944	True
b1904	True
b2597	True
b3749	True
b1109	True
b2167	True
b1943	True
b2416	True
b2518	True
b2415	True
b1528	True
b3926	True
b3927	True
b1881	True
b1071	True
b3011	True
b3752	True
b1081	True
b3671	True
b1891	True
b0779	True
b0411	True
b2943	True
b4060	True
b0063	True
b0114	True
b3524	True
b0726	True
b2169	True
b2168	True
b2297	True
b2393	True
b1940	True
b2060	True
b0623	True
b1283	True
b1948	True
b4116	True
b3313	True
b1819	True
b2053	True
b1074	True
b1818	True
b0061	True
b4132	True
b1817	True
b0015	True
b1937	True
b1883	True
b1947	True
b1936	True
b2296	True
b1171	True
b4209	True
b1951	True
b4356	True
b1421	True
b0722	True
b4111	True
b2844	True
b1892	True
b0062	True
b0651	True
b2095	True
b0970	True
b4131	True
b2677	True
b0314	True
b1380	True
b2616	True
b3088	True
b0220	True
b4142	True
b1884	True
b3604	True
b4217	True
b1036	True
b1946	True
b0014	True
b4143	True
b1660	True
b1829	True
b1422	True
b4110	True
b3605	True
b2903	True
b3988	True
b3314	True
b3318	True
b2052	True
b4618	True
b1925	True
b1101	True
b2284	True
b3471	True
b2699	True
b4381	True
b1070	True
b3012	True
b0065	True
b3316	True
b1878	True
b3260	True
b1920	True
b2283	True
b3547	True
b4064	True
b0898	True
b1950	True
b3934	True
b0231	True
b1901	True
b0269	True
b1594	True
b2286	True
b2698	True
b1321	True
b3311	True
b3637	True
b3319	True
b1847	True
b2209	True
b0463	True
b4026	True
b1429	True
b1719	True
b2922	True
b3984	True
b2075	True
b0727	True
b0728	True
b3859	True
b4382	True
b0734	True
b2925	True
b4140	True
b1163	True
b0733	True
b3300	True
b2796	True
b0453	True
b1113	True
b1927	True
b3303	True
b3295	True
b2285	True
b2069	True
b2240	True
b3010	True
b0379	True
b0679	True
b2059	True
b1412	True
b1014	True
b1216	True
b4055	True
b3932	True
b0473	True
b2096	True
b3055	True
b0628	True
b3363	True
b1172	True
b4354	True
b2048	True
b4735	True
b1057	True
b4044	True
b1877	True
b3168	True
b3846	True
b4130	True
b2049	True
b3317	True
b1190	True
b4171	True
b1088	True
b2156	True
b0958	True
b4019	True
b1111	True
b3364	True
b0729	True
b2057	True
b3301	True
b1600	True
b2840	True
b2470	True
b1241	True
b3166	True
b3437	True
b2429	True
b3320	True
b2126	True
b3305	True
b4029	True
b2426	True
b1189	True
b2062	True
b2428	True
b4077	True
b1269	True
b3261	True
ssrA	True
b2050	True
b2074	True
b2282	True
b0113	True
b2092	True
b4109	True
b2679	True
b4736	True
b0873	True
b3925	True
b1816	True
b2142	True
b2417	True
b3294	True
b0763	True
b1056	True
b3296	True
b3321	False
b2678	True
b0811	True
b3042	True
b0116	False
b2323	True
b2055	True
b2287	True
b3160	True
b2587	True
b3753	True
b1926	True
b3315	True
b0845	True
alaV	True
b0496	True
b2592	True
b3302	True
b3162	True
b3304	True
b2309	True
b3297	True
b4139	True
b2980	True
b1661	True
b2076	True
b1848	True
b1563	True
b1942	True
b3167	True
b3365	True
b2671	True
b1846	True
b2310	True
b1963	True
b4487	True
alaT	True
b1857	True
