GeneID	Expression
b2940	True
b0847	True
b2054	True
b0268	True
b1847	True
b3636	True
b0188	True
b1868	True
b3309	True
b2291	True
b1871	True
b1630	False
argY	True
b2581	True
b2070	True
b3733	False
b0065	True
b3150	True
b1211	True
b1479	False
b1678	True
b0269	True
b2219	True
b2523	False
b4178	True
b3209	True
b2923	True
b0022	True
b3633	False
b3519	True
b3937	True
b1212	True
b0470	False
b1206	True
b1660	True
b0926	False
b0346	True
b0809	True
b3342	False
b2415	True
b0829	True
b0889	True
b3898	True
b2679	True
b2614	True
b1381	True
b1602	False
b0152	True
b1133	True
b1816	True
b3982	False
b0170	False
b1054	False
b2123	True
b2522	True
b1823	True
b4350	False
b1334	False
b3706	True
b4750	True
b2294	True
b2524	True
b1603	True
b2043	True
b0799	True
b1538	True
b1982	True
b0807	True
b4051	True
b4479	True
b1087	True
b2037	True
b1324	True
b3702	False
b3498	True
b1093	False
b0685	True
b3088	True
b1818	True
b3961	True
b2217	True
b1271	True
b4025	True
b2010	True
b1719	False
b2766	True
b3485	True
b3192	False
b3234	True
b4144	True
b2809	True
b0166	True
omrB	True
b1632	True
tyrU	True
b0160	True
b2213	True
b0578	True
b0932	False
ssrA	False
b3163	True
b2559	True
b3601	True
b3546	True
b1865	False
b0023	True
b3704	True
lysY	True
b1064	True
b2840	True
b2525	True
b0581	True
b3415	True
b2035	True
b0177	False
b1619	True
b1688	False
b2124	True
b2185	True
b4092	True
b0056	True
b3289	False
b3149	False
b4382	True
b0830	True
b2678	True
b1055	True
b4553	True
sdsR	True
b2465	True
b2947	True
b0576	False
b1421	True
b3167	False
b1967	True
b3908	True
b2537	True
b4166	False
b0153	True
b0760	True
b1742	True
argZ	True
b2171	True
b1091	False
b2477	False
b1297	True
b2066	True
b1835	False
b4537	True
b0217	True
b0495	True
b3540	True
b1613	True
b0452	True
b0162	True
b4377	True
b1540	True
b1723	True
b1843	True
b2511	False
b1198	True
lysW	True
b0765	True
b4139	True
b3644	False
b3887	True
b2685	False
b1729	True
b1135	True
b4049	False
b0898	True
b3847	False
b0864	True
b1905	True
b3170	True
b2092	True
b0154	False
b2565	True
b1044	True
b0963	False
b3931	True
b3672	True
b2938	False
b1124	False
b2310	True
b0483	True
b4143	True
b1287	True
b4736	False
b0209	True
b2562	True
b2297	False
b0436	False
b1322	True
b1808	False
b0863	True
b0127	False
